network,S,L,C,rho,maxtl,diam,entropy,T,B,I,GenSD,VulSD,MxSim,Cannib,Omniv,S1,S2,S3,S4,S5,D1,D2,D3,D4,D5,D6,D7,D8
N_all,32,122,0.119140625,0.6662781610333431,4.0,3,0.8645482098691714,0.0,0.4375,0.5625,1.4326853529087797,0.5975215605542046,0.8931175595238094,0.09375,0.15625,0.23559150657229525,0.06471183013144591,0.0,0.16683518705763398,0.5176946410515673,0.01314459049544995,0.0020222446916076846,0.0,0.0,0.0,0.0,0.0,0.0
N_all,22,57,0.11776859504132231,0.6236091221456159,4.0,3,0.8941984545289802,0.0,0.36363636363636365,0.6363636363636364,1.4276433691269423,0.8393682896034118,0.8635780885780885,0.09090909090909091,0.13636363636363635,0.1945288753799392,0.02735562310030395,0.0,0.25835866261398177,0.5197568389057751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N_all,41,169,0.10053539559785842,0.6234405036138158,3.3333333333333335,3,0.8495639011192967,0.0,0.6097560975609756,0.3902439024390244,1.772994749368754,0.47970250342217635,0.9275155738570372,0.07317073170731707,0.14634146341463414,0.16521264994547438,0.04798255179934569,0.0,0.12758996728462377,0.6526717557251909,0.0054525627044711015,0.0010905125408942203,0.0,0.0,0.0,0.0,0.0,0.0
N_all,52,247,0.09134615384615384,0.6705658106713617,3.074074074074074,2,0.8184949388836937,0.057692307692307696,0.40384615384615385,0.5384615384615384,1.7848541112866727,1.0463174921548544,0.9125278637375414,0.019230769230769232,0.09615384615384616,0.12791016159956176,0.0479320734045467,0.0,0.25061626951520133,0.5735414954806902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N_all,53,272,0.09683161267354931,0.6501863568890265,3.75,3,0.8260925844000548,0.0,0.4528301886792453,0.5471698113207547,1.7038548837656706,0.6474254829364918,0.9174858974687761,0.07547169811320754,0.1320754716981132,0.17452440033085195,0.058726220016542596,0.0,0.152191894127378,0.5985663082437276,0.013234077750206782,0.0024813895781637717,0.0,0.0,0.0,0.00027570995312930797,0.0,0.0
N_all,35,118,0.0963265306122449,0.6175715621282843,3.5,3,0.8936330619302827,0.0,0.5142857142857142,0.48571428571428577,1.5909409672248631,0.5435322230462194,0.9053871692217557,0.08571428571428572,0.17142857142857143,0.2222222222222222,0.057692307692307696,0.0,0.1346153846153846,0.5758547008547008,0.007478632478632479,0.002136752136752137,0.0,0.0,0.0,0.0,0.0,0.0
N_all,32,136,0.1328125,0.7236780631345594,3.714285714285714,3,0.8425228906993231,0.03125,0.34375,0.625,1.4168157585326757,0.7653624389195007,0.894907305027274,0.0625,0.25,0.17391304347826086,0.13391304347826086,0.0,0.17304347826086958,0.5060869565217392,0.008695652173913044,0.004347826086956522,0.0,0.0,0.0,0.0,0.0,0.0
N_all,27,42,0.05761316872427984,0.6006805636541614,2.75,2,0.9090950579495335,0.0,0.7407407407407407,0.2592592592592593,2.3809981680579124,1.0293952744612744,0.9205761316872427,0.037037037037037035,0.037037037037037035,0.12692307692307692,0.0,0.0,0.17307692307692307,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N_all,22,43,0.08884297520661157,0.6332786982866911,2.769230769230769,2,0.9021934138015287,0.09090909090909091,0.4090909090909091,0.49999999999999994,1.5747858751024404,1.5183681401284812,0.8848755411255411,0.045454545454545456,0.045454545454545456,0.09090909090909091,0.0,0.0,0.4669421487603306,0.44214876033057854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N_all,24,61,0.10590277777777778,0.6758378177624158,3.071428571428571,2,0.8791821128753117,0.041666666666666664,0.4166666666666667,0.5416666666666667,1.5906965769941044,1.0695195326221467,0.8626332477435419,0.041666666666666664,0.125,0.15763546798029557,0.04926108374384237,0.0,0.270935960591133,0.5221674876847291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N_all,49,254,0.10578925447730113,0.6380515878178327,4.0,3,0.8223501578784307,0.0,0.4489795918367347,0.5510204081632653,1.494131229685977,0.4569806033402406,0.9321174856889143,0.12244897959183673,0.20408163265306123,0.24024853296513635,0.07352433551950294,0.0,0.12012426648256817,0.5436658612357611,0.017604418363824648,0.004142216085605799,0.0,0.0,0.0,0.0006903693476009665,0.0,0.0
N_all,35,102,0.08326530612244898,0.5917981557474655,3.0,2,0.9085390041201967,0.02857142857142857,0.5714285714285714,0.4,1.8597529540976085,1.1269619319461575,0.9668635875402791,0.05714285714285714,0.05714285714285714,0.07708779443254818,0.0,0.0,0.30085653104925053,0.6220556745182013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N_all,22,58,0.11983471074380166,0.7192322635186962,3.1,2,0.923651570834385,0.0,0.5,0.5,1.533167643674803,0.6779799931206328,0.9197552447552447,0.18181818181818182,0.18181818181818182,0.25089605734767023,0.0,0.0,0.17204301075268819,0.4874551971326165,0.08602150537634409,0.0,0.0,0.0,0.0,0.0035842293906810036,0.0,0.0
N_all,39,152,0.09993425378040763,0.6136128851364457,4.0,3,0.8387947068793014,0.02564102564102564,0.5128205128205128,0.46153846153846156,1.6118159588585428,0.7579311654449264,0.940018315018315,0.07692307692307693,0.10256410256410256,0.17585301837270342,0.026246719160104987,0.0,0.21456692913385828,0.5748031496062992,0.007874015748031496,0.0006561679790026247,0.0,0.0,0.0,0.0,0.0,0.0
N_all,31,148,0.15400624349635797,0.6440486412243331,4.0,3,0.84340630122566,0.03225806451612903,0.3870967741935484,0.5806451612903226,1.1236996380493445,0.5867599105238898,0.915531969611666,0.0967741935483871,0.1935483870967742,0.25644804716285924,0.03537214443625645,0.0,0.24097273397199706,0.4591009579955785,0.0058953574060427415,0.002210759027266028,0.0,0.0,0.0,0.0,0.0,0.0
N_all,41,137,0.08149910767400356,0.5826290563115714,4.0,3,0.8585686693836849,0.0,0.5365853658536586,0.46341463414634143,1.869671375759019,0.7935166050454252,0.9614349065568578,0.04878048780487805,0.07317073170731707,0.13173216885007277,0.025473071324599708,0.0,0.19286754002911208,0.6499272197962155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
